Requirement,Applicable?,Comment,Backend Implementation Status,Need Improvement?
"Verify that passwords are stored in a form that is resistant to offline attacks. Passwords SHALL be salted and hashed using an approved one-way key derivation or password hashing function. Key derivation and password hashing functions take a password, a salt, and a cost factor as inputs when generating a password hash. ([C6](https://owasp.org/www-project-proactive-controls/#div-numbering))",Yes,"Passwords are salted and hashed with bcrypt before persistence.",Completed,
"Verify shared or default accounts are not present (e.g. ""root"", ""admin"", ""sa"").",Yes,"No shared/default accounts are created in code and the EC2 production audit command npm run security:audit-default-accounts returned PASS.",Completed,
Verify that lookup secrets can be used only once.,Yes,"Password reset token is cleared when password is updated.",Completed,
"Verify that the out of band verifier expires out of band authentication requests, codes, or tokens after 10 minutes.",Yes,"Implemented hard cap so password reset token expiry cannot exceed 10 minutes.",Completed,
"Verify that the initial authentication code is generated by a secure random number generator, containing at least 20 bits of entropy (typically a six digital random number is sufficient).",Yes,"Reset token uses crypto randomUUID with high entropy.",Completed,
"Verify that logout and expiration invalidate the session token, such that the back button or a downstream relying party does not resume an authenticated session, including across relying parties. ([C6](https://owasp.org/www-project-proactive-controls/#div-numbering))",Yes,"Logout destroys server-side session and session store expiry is enforced.",Completed,
"Verify that the application gives the option to terminate all other active sessions after a successful password change (including change via password reset/recovery), and that this is effective across the application, federated login (if present), and any relying parties.",Yes,"Implemented stricter behavior: all active sessions for the user are invalidated after password change and reset.",Completed,
"Verify the application uses session tokens rather than static API secrets and keys, except with legacy implementations.",Yes,"User authentication uses server-managed session tokens via secure HTTP-only cookies.",Completed,
"Verify the application ensures a full, valid login session or requires re-authentication or secondary verification before allowing any sensitive transactions or account modifications.",Yes,"Sensitive endpoints are protected by session guard and password change requires current password.",Completed,
"Verify that the application enforces access control rules on a trusted service layer, especially if client-side access control is present and could be bypassed.",Yes,"Server-side guards and service-level user scoping enforce trusted access decisions.",Completed,
Verify that all user and data attributes and policy information used by access controls cannot be manipulated by end users unless specifically authorized.,Yes,"Authenticated user identity is derived from server session not from client-supplied identifiers.",Completed,
"Verify that the principle of least privilege exists - users should only be able to access functions, data files, URLs, controllers, services, and other resources, for which they possess specific authorization. This implies protection against spoofing and elevation of privilege. ([C7](https://owasp.org/www-project-proactive-controls/#div-numbering))",Yes,"User routes are scoped by session userId and admin-only paths perform role checks; subscription endpoint now enforces self-access.",Completed,
Verify that access controls fail securely including when an exception occurs. ([C10](https://owasp.org/www-project-proactive-controls/#div-numbering)),Yes,"Guard failures return unauthorized and execution is blocked by default.",Completed,
"Verify that sensitive data and APIs are protected against Insecure Direct Object Reference (IDOR) attacks targeting creation, reading, updating and deletion of records, such as creating or updating someone else's record, viewing everyone's records, or deleting all records.",Yes,"Resource operations are constrained by authenticated userId in repositories/services and hidden subscription endpoint now enforces same-user access.",Completed,
Verify administrative interfaces use appropriate multi-factor authentication to prevent unauthorized use.,Yes,"Admin role checks exist; MFA must be enforced at identity provider or admin login layer for CASA compliance.",Pending,
"Verify that the application has defenses against HTTP parameter pollution attacks, particularly if the application framework makes no distinction about the source of request parameters (GET, POST, cookies, headers, or environment variables).",Yes,"Validation hardening includes whitelist + forbidNonWhitelisted + forbidUnknownValues and sensitive query-key blocking middleware.",Completed,
Verify that the application sanitizes user input before passing to mail systems to protect against SMTP or IMAP injection.,Yes,"Mail sending now sanitizes header values and escapes user-provided contact content before composing outbound email HTML.",Completed,
"Verify that the application avoids the use of eval() or other dynamic code execution features. Where there is no alternative, any user input being included must be sanitized or sandboxed before being executed.",Yes,"No eval-style dynamic code execution is used in the backend service.",Completed,
"Verify that the application protects against SSRF attacks, by validating or sanitizing untrusted data or HTTP file metadata, such as filenames and URL input fields, and uses allow lists of protocols, domains, paths and ports.",Yes,"Implemented SSRF controls for URL ingestion: protocol/port restriction private/local host and IP blocking DNS checks and redirect/resource blocking during crawl.",Completed,
"Verify that the application sanitizes, disables, or sandboxes user-supplied Scalable Vector Graphics (SVG) scriptable content, especially as they relate to XSS resulting from inline scripts, and foreignObject.",No,"Not applicable because user SVG uploads or rendering are not supported by this backend.",N/A,
"Verify that output encoding is relevant for the interpreter and context required. For example, use encoders specifically for HTML values, HTML attributes, JavaScript, URL parameters, HTTP headers, SMTP, and others as the context requires, especially from untrusted inputs (e.g. names with Unicode or apostrophes, such as ねこ or O'Hara). ([C4](https://owasp.org/www-project-proactive-controls/#div-numbering))",No,"Backend primarily returns JSON APIs and does not render HTML templates directly.",N/A,
"Verify that the application protects against JSON injection attacks, JSON eval attacks, and JavaScript expression evaluation. ([C4](https://owasp.org/www-project-proactive-controls/#div-numbering))",Yes,"Responses are serialized JSON and no eval-based JSON processing is used.",Completed,
"Verify that the application protects against LDAP injection vulnerabilities, or that specific security controls to prevent LDAP injection have been implemented. ([C4](https://owasp.org/www-project-proactive-controls/#div-numbering))",No,"Not applicable because LDAP is not used in this application stack.",N/A,
"Verify that regulated private data is stored encrypted while at rest, such as Personally Identifiable Information (PII), sensitive personal information, or data assessed likely to be subject to EU's GDPR.",Yes,"Applicable at infrastructure and database layer; confirm cloud disk and database encryption settings as CASA evidence.",Pending,
"Verify that all cryptographic operations are constant-time, with no 'short-circuit' operations in comparisons, calculations, or returns, to avoid leaking information.",Yes,"Password verification uses bcrypt compare and no custom secret comparison logic is implemented.",Completed,
"Verify that random GUIDs are created using the GUID v4 algorithm, and a Cryptographically-secure Pseudo-random Number Generator (CSPRNG). GUIDs created using other pseudo-random number generators may be predictable.",Yes,"UUID generation uses crypto randomUUID or database defaultRandom CSPRNG-backed UUIDs.",Completed,
Verify that key material is not exposed to the application but instead uses an isolated security module like a vault for cryptographic operations. ([C8](https://owasp.org/www-project-proactive-controls/#div-numbering)),Yes,"Runtime secrets currently use .env as an interim model with hardened permissions (600) and production startup permission enforcement; migrate to AWS Secrets Manager or SSM to satisfy isolated secret module requirement.",Partial,
"Verify that the application does not log credentials or payment details. Session tokens should only be stored in logs in an irreversible, hashed form. ([C9, C10](https://owasp.org/www-project-proactive-controls/#div-numbering))",Yes,"Improved logging by removing raw email body logs, using sanitized request-path logging, and adding security audit logs without sensitive payloads.",Completed,
Verify the application protects sensitive data from being cached in server components such as load balancers and application caches.,Yes,"Authenticated responses now set no-store/no-cache headers via security interceptor; still align ingress defaults in deployment.",Completed,
"Verify that data stored in browser storage (such as localStorage, sessionStorage, IndexedDB, or cookies) does not contain sensitive data.",No,"Frontend/browser storage controls are outside this backend repository scope.",N/A,
"Verify that sensitive data is sent to the server in the HTTP message body or headers, and that query string parameters from any HTTP verb do not contain sensitive data.",Yes,"Sensitive inputs are handled in request body/cookies and middleware now rejects sensitive query parameter keys.",Completed,
"Verify accessing sensitive data is audited (without logging the sensitive data itself), if the data is collected under relevant data protection directives or where logging of access is required.",Yes,"Global security audit interceptor logs authenticated request access metadata (userId method path status duration ip) without payload data.",Completed,
"Verify that connections to and from the server use trusted TLS certificates. Where locally generated or self-signed certificates are used, the server must be configured to only trust specific local CAs and specific self-signed certificates. All others should be rejected.",Yes,"Verified on EC2 NGINX with Let's Encrypt certificate and openssl verification result 'Verify return code: 0 (ok)'.",Completed,
"Verify that proper certification revocation, such as Online Certificate Status Protocol (OCSP) Stapling, is enabled and configured.",Yes,"OCSP stapling was tested on NGINX but the active Let's Encrypt certificate chain does not expose an OCSP responder URL (openssl -ocsp_uri empty), so stapling is not technically available in current setup. Compensating controls in place: trusted CA certificate, TLS 1.2/1.3 enforcement, successful certificate verification, strict redirect to HTTPS, and routine certificate renewal/monitoring.",Partial,
